Locus_tag;Old_locus_tag;Gene_name;Gene_product;Old_gene_product;Protein_ID;Old_protein_ID
EDL933_RS27045;Z5718;adiY;transcriptional regulator;Transcriptional regulator of catabolic arginine decarboxylase (adiA);WP_001217059.1;AIG71600.1
EDL933_RS02710;Z0591;adk;adenylate kinase;Adenylate kinase;WP_001220233.1;AIG66754.1
EDL933_RS02665;Z0581;aefA;hypothetical protein;Potassium efflux system KefA protein;WP_000177746.1;AIG66744.1
EDL933_RS21085;Z4425;aer;aerotaxis receptor;Aerotaxis sensor receptor protein;WP_000094674.1;AIG70443.1
EDL933_RS02115;Z0459;afuB;iron ABC transporter permease;Ferric iron ABC transporter, permease protein;WP_000084161.1;AIG66625.1
EDL933_RS21410;Z4492;agaB;N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 1;PTS system, N-acetylgalactosamine-specific IIB component;WP_000098025.1;AIG70511.1
EDL933_RS21415;Z4493;agaC;PTS N-acetylgalactosamine transporter subunit IIC;PTS system, N-acetylgalactosamine-specific IIC component;WP_071525013.1;AIG70512.1
EDL933_RS21420;Z4494;agaD;PTS N-acetylgalactosamine transporter subunit IID;PTS system, N-acetylgalactosamine-specific IID component;WP_000534351.1;AIG70513.1
EDL933_RS21400;Z4490;agaS;aldose isomerase;Galactosamine-6-phosphate isomerase;WP_001114858.1;AIG70509.1
EDL933_RS21405;Z4491;agaY;tagatose-1,6-bisphosphate aldolase;Tagatose 1,6-bisphosphate aldolase;WP_000022766.1;AIG70510.1
EDL933_RS21370;Z4484;agaZ;tagatose-1,6-bisphosphate aldolase;Tagatose-6-phosphate kinase AgaZ;WP_000681927.1;AIG70502.1
EDL933_RS06595;Z1421;agp;bifunctional glucose-1-phosphatase/inositol phosphatase;Glucose-1-phosphatase;WP_001044286.1;AIG67536.1
EDL933_RS03305;Z0749;ahpC;alkyl hydroperoxide reductase subunit C;Alkyl hydroperoxide reductase protein C;WP_000052796.1;AIG66879.1
EDL933_RS03310;Z0750;ahpF;alkyl hydroperoxide reductase subunit F;Alkyl hydroperoxide reductase protein F;WP_000887629.1;AIG66880.1
EDL933_RS27420;Z5794;aidB;DNA alkylation response protein;Acyl-CoA dehydrogenase;WP_001301849.1;AIG71671.1
EDL933_RS16750;Z3510;ais;histidine phosphatase family protein;Polymyxin resistance protein PmrG;WP_001302794.1;AIG69581.1
EDL933_RS18975;Z3999;alaS;alanine--tRNA ligase;Alanyl-tRNA synthetase;WP_000047198.1;AIG70017.1
EDL933_RS10915;Z2306;aldA;aldehyde dehydrogenase;Aldehyde dehydrogenase A;WP_000115947.1;AIG68420.1
EDL933_RS23840;Z5008;aldB;aldehyde dehydrogenase;Aldehyde dehydrogenase B;WP_001301920.1;AIG70988.1
EDL933_RS11660;Z2488;aldH;gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase;Gamma-glutamyl-aminobutyraldehyde dehydrogenase;WP_001009127.1;AIG68565.1
EDL933_RS15385;Z3237;alkA;3-methyladenine DNA glycosylase 2;DNA-3-methyladenine glycosylase II;WP_000288369.1;AIG69310.1
EDL933_RS16560;Z3470;alkB;alpha-ketoglutarate-dependent dioxygenase AlkB;Alkylated DNA repair protein AlkB;WP_000884972.1;AIG69544.1
EDL933_RS26710;Z5651;alr;alanine racemase biosynthetic;Alanine racemase;WP_001147332.1;AIG71528.1
EDL933_RS17640;Z3700;amiA;N-acetylmuramoyl-L-alanine amidase;N-acetylmuramoyl-L-alanine amidase;WP_000102891.1;AIG69758.1
EDL933_RS27330;Z5776;amiB;N-acetylmuramoyl-L-alanine amidase AmiB;N-acetylmuramoyl-L-alanine amidase;WP_000990297.1;AIG71653.1
EDL933_RS14935;Z3139;amn;AMP nucleosidase;AMP nucleosidase;WP_001060244.1;AIG69219.1
EDL933_RS27245;Z5757;ampC;BlaEC family class C beta-lactamase;Beta-lactamase;WP_000477369.1;AIG71639.1
EDL933_RS00585;Z0120;ampD;N-acetylmuramoyl-L-alanine amidase;N-acetylmuramoyl-L-alanine amidase AmpD;WP_000923722.1;AIG66319.1
EDL933_RS00590;Z0121;ampE;beta-lactamase regulator AmpE;AmpE protein;WP_000172008.1;AIG66320.1
EDL933_RS02505;Z0536;ampG;muropeptide MFS transporter AmpG;AmpG permease;WP_000098429.1;AIG66707.1
EDL933_RS02600;Z0563;amtB;ammonia channel;Ammonium transporter;WP_000685029.1;AIG66730.1
EDL933_RS14355;Z3017;amyA;alpha-amylase;Cytoplasmic alpha-amylase;WP_001245723.1;AIG69102.1
EDL933_RS13350;Z2801;ansA;L-asparaginase 1;L-asparaginase I, cytoplasmic;WP_001170162.1;AIG68900.1
EDL933_RS20445;Z4302;ansB;L-asparaginase 2;L-asparaginase;WP_000394102.1;AIG70322.1
EDL933_RS10730;Z2266;ansP;L-asparagine permease;L-asparagine permease;WP_001300590.1;AIG68382.1
EDL933_RS08545;Z1818;Ant;phage repressor protein/antirepressor Ant;putative antirepressor protein;WP_000835336.1;AIG67944.1
EDL933_RS06865;Z6050;antP;hypothetical protein;hypothetical protein;WP_001056806.1;AIG67585.1
EDL933_RS00285;Z0059;apaG;Co2+/Mg2+ efflux protein ApaG;ApaG protein;WP_000610901.1;AIG66261.1
EDL933_RS00280;Z0058;apaH;bis(5'-nucleosyl)-tetraphosphatase (symmetrical);Bis(5'-nucleosyl)-tetraphosphatase, symmetrical;WP_000257187.1;AIG66260.1
EDL933_RS02465;Z0528;apbA;2-dehydropantoate 2-reductase;2-dehydropantoate 2-reductase;WP_000705859.1;AIG66699.1
EDL933_RS26725;Z5654;aphA;acid phosphatase/phosphotransferase;NMN phosphatase;WP_001226923.1;AIG71532.1
EDL933_RS06490;Z1397;appA;phosphoanhydride phosphorylase;Phosphoanhydride phosphohydrolase (pH 2.5 acid phosphatase) (AP);WP_001301957.1;AIG67513.1
EDL933_RS06480;Z1396;appB;cytochrome bd oxidase subunit II;Cytochrome d ubiquinol oxidase subunit II;WP_000460778.1;AIG67512.1
EDL933_RS06475;Z1395;appC;cytochrome bd-II ubiquinol oxidase subunit I;Cytochrome d ubiquinol oxidase subunit I;WP_000263572.1;AIG67511.1
EDL933_RS02685;Z0586;apt;adenine phosphoribosyltransferase;Adenine phosphoribosyltransferase;WP_001301904.1;AIG66748.1
EDL933_RS05030;Z1109;aqpZ;aquaporin;Aquaporin Z;WP_000488716.1;AIG67210.1
EDL933_RS00340;Z0070;araA;L-arabinose isomerase;L-arabinose isomerase;WP_000151715.1;AIG66272.1
EDL933_RS00345;Z0072;araB;ribulokinase;Ribulokinase;WP_000951872.1;AIG66273.1
EDL933_RS00350;Z0073;araC;arabinose operon regulatory protein;Arabinose operon regulatory protein;WP_001300811.1;AIG66274.1
EDL933_RS00335;Z0069;araD;L-ribulose-5-phosphate 4-epimerase;L-ribulose-5-phosphate 4-epimerase;WP_000888654.1;AIG66271.1
EDL933_RS19735;Z4161;araE;arabinose-proton symporter;Arabinose-proton symporter;WP_000256438.1;AIG70177.1
EDL933_RS14055;Z2954;araF;arabinose ABC transporter substrate-binding protein;L-arabinose-binding periplasmic protein precursor AraF;WP_000548680.1;AIG69043.1
EDL933_RS14050;Z2953;araG;L-arabinose ABC transporter ATP-binding protein AraG;L-arabinose transport ATP-binding protein AraG;WP_001187796.1;AIG69042.1
EDL933_RS14045;NA;AraH;L-arabinose ABC transporter permease AraH;NA;NA;NA
EDL933_RS02295;Z0494;araJ;MFS transporter AraJ;Protein AraJ precursor;WP_001306939.1;AIG66661.1
EDL933_RS28495;Z6004;arcA;DNA-binding response regulator;Aerobic respiration control protein arcA;WP_001194358.1;AIG71882.1
EDL933_RS21795;Z4574;arcB;hybrid sensor histidine kinase/response regulator;Aerobic respiration control sensor protein arcB;WP_000809770.1;AIG70586.1
EDL933_RS02970;Z0676;arcC;carbamate kinase;Carbamate kinase;WP_000855395.1;AIG66808.1
EDL933_RS12490;Z2605;ArcD;arginine:ornithine antiporter;Arginine/ornithine antiporter ArcD;WP_000412375.1;AIG68731.1
EDL933_RS19610;Z4135;argA;N-acetylglutamate synthase;N-acetylglutamate synthase;WP_000237947.1;AIG70151.1
EDL933_RS26170;Z5516;argC;N-acetyl-gamma-glutamyl-phosphate reductase;N-acetyl-gamma-glutamyl-phosphate reductase;WP_000935347.1;AIG71433.1
EDL933_RS22470;Z4720;argD;aspartate aminotransferase family protein;Acetylornithine aminotransferase;WP_000963819.1;AIG70711.1
EDL933_RS26165;Z5515;argE;acetylornithine deacetylase;Acetylornithine deacetylase;WP_001301638.1;AIG71432.1
EDL933_RS21605;Z4534;argG;argininosuccinate synthase;Argininosuccinate synthase;WP_000207678.1;AIG70549.1
EDL933_RS26180;Z5518;argH;argininosuccinate lyase;Argininosuccinate lyase;WP_001230096.1;AIG71435.1
EDL933_RS27755;Z5866;argI;ornithine carbamoyltransferase;Ornithine carbamoyltransferase;WP_000012925.1;AIG71742.1
EDL933_RS21900;Z4596;argR;arginine repressor;Arginine pathway regulatory protein ArgR, repressor of arg regulon;WP_001257846.1;AIG70607.1
EDL933_RS13945;Z2929;argS;arginine--tRNA ligase;Arginyl-tRNA synthetase;WP_001025318.1;AIG69021.1
EDL933_RS17030;Z3572;argT;amino acid ABC transporter substrate-binding protein;Lysine-arginine-ornithine-binding periplasmic protein precursor;WP_000748238.1;AIG69640.1
EDL933_RS16770;Z3514;ArnD;4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase ArnD;Polymyxin resistance protein PmrJ, predicted deacetylase;WP_000169742.1;AIG69585.1
EDL933_RS16780;Z3516;ArnE;4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE;Polymyxin resistance protein PmrL, sucrose-6 phosphate hydrolase;WP_000638034.1;AIG69587.1
EDL933_RS05755;Z1254;aroA;3-phosphoshikimate 1-carboxyvinyltransferase;5-Enolpyruvylshikimate-3-phosphate synthase;WP_000445231.1;AIG67366.1
EDL933_RS22580;Z4742;aroB;3-dehydroquinate synthase;3-dehydroquinate synthase;WP_000439863.1;AIG70735.1
EDL933_RS17125;Z3592;aroC;chorismate synthase;Chorismate synthase;WP_001297933.1;AIG69661.1
EDL933_RS12945;Z2721;aroD;3-dehydroquinase;3-dehydroquinate dehydratase I;WP_000860179.1;AIG68822.1
EDL933_RS22135;Z4652;aroE;shikimate dehydrogenase;Shikimate 5-dehydrogenase I alpha;WP_000451254.1;AIG70647.1
EDL933_RS18480;Z3893;aroF;phospho-2-dehydro-3-deoxyheptonate aldolase;2-keto-3-deoxy-D-arabino-heptulosonate-7- phosphate synthase I alpha;WP_001168032.1;AIG69922.1
EDL933_RS04080;Z0924;aroG;phospho-2-dehydro-3-deoxyheptonate aldolase Phe-sensitive;2-keto-3-deoxy-D-arabino-heptulosonate-7- phosphate synthase I alpha;WP_001109196.1;AIG67028.1
EDL933_RS13010;Z2733;aroH;phospho-2-dehydro-3-deoxyheptonate aldolase Trp-sensitive;2-keto-3-deoxy-D-arabino-heptulosonate-7- phosphate synthase I alpha;WP_001082219.1;AIG68835.1
EDL933_RS02250;Z0484;aroL;shikimate kinase;Shikimate kinase III;WP_000193393.1;AIG66652.1
EDL933_RS02265;Z0486;aroM;hypothetical protein;AroM protein;WP_001276403.1;AIG66654.1
EDL933_RS00595;Z0122;aroP;aromatic amino acid transporter AroP;Aromatic amino acid transport protein AroP;WP_000399046.1;AIG66321.1
EDL933_RS26475;Z5608;arp;hypothetical protein;Ankyrin-repeat protein A;WP_000627910.1;AIG71483.1
EDL933_RS23330;Z4904;arsB;arsenical efflux pump membrane protein ArsB;Arsenic efflux pump protein;WP_000922639.1;AIG70887.1
EDL933_RS23335;Z4905;arsC;arsenate reductase;Arsenate reductase;WP_000065773.1;AIG70888.1
EDL933_RS23325;Z4903;arsR;transcriptional regulator;Arsenical resistance operon repressor;WP_000008967.1;AIG70886.1
EDL933_RS04950;Z1093;artI;arginine ABC transporter substrate-binding protein;Arginine ABC transporter, periplasmic arginine-binding protein ArtI;WP_000756565.1;AIG67197.1
EDL933_RS04935;Z1090;artJ;arginine ABC transporter substrate-binding protein;Arginine ABC transporter, periplasmic arginine-binding protein ArtJ;WP_001301968.1;AIG67193.1
EDL933_RS04940;Z1091;artM;arginine ABC transporter permease ArtM;Arginine ABC transporter, permease protein ArtM;WP_000464491.1;AIG67195.1
EDL933_RS04955;Z1094;artP;arginine ABC transporter ATP-binding protein ArtP;Arginine ABC transporter, ATP-binding protein ArtP;WP_000027205.1;AIG67198.1
EDL933_RS04945;Z1092;artQ;arginine transporter permease subunit ArtQ;Arginine ABC transporter, permease protein ArtQ;WP_001001697.1;AIG67196.1
EDL933_RS19075;Z4024;ascB;6-phospho-beta-glucosidase;6-phospho-beta-glucosidase ascB;WP_000110348.1;AIG70042.1
EDL933_RS19070;Z4023;ascF;PTS cellobiose/arbutin/salicin transporter subunit IIBC;PTS system, arbutin-, cellobiose-, and salicin-specific IIBC component;WP_001107818.1;AIG70041.1
EDL933_RS19065;Z4022;ascG;transcriptional regulator;AscBF operon repressor;WP_001310426.1;AIG70040.1
EDL933_RS22820;Z4797;asd;aspartate-semialdehyde dehydrogenase;Aspartate-semialdehyde dehydrogenase;WP_000799956.1;AIG70787.1
EDL933_RS25275;Z5314;aslA;arylsulfatase;Arylsulfatase;WP_000395849.1;AIG71257.1
EDL933_RS25270;Z5313;aslB;anaerobic sulfatase maturase AslB;Putative arylsulfatase regulatory protein;WP_000941537.1;AIG71256.1
EDL933_RS15365;Z3232;asmA;outer membrane assembly protein AsmA;AsmA protein;WP_001252349.1;AIG69305.1
EDL933_RS24985;Z5245;asnA;asparagine synthetase A;Aspartate--ammonia ligase;WP_000845107.1;AIG71213.1
EDL933_RS03625;Z0821;asnB;asparagine synthase B;Asparagine synthetase [glutamine-hydrolyzing];WP_000337047.1;AIG66943.1
EDL933_RS24980;Z5244;asnC;AsnC family transcriptional regulator;Regulatory protein AsnC;WP_000432970.1;AIG71212.1
EDL933_RS05870;Z1278;asnS;asparagine--tRNA ligase;Asparaginyl-tRNA synthetase;WP_000117895.1;AIG67388.1
EDL933_RS14920;Z3135;asnT;inverse autotransporter adhesin-like protein YeeJ;adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization);WP_024165566.1;AIG69216.1
EDL933_RS27180;Z5744;aspA;aspartate ammonia-lyase;Aspartate ammonia-lyase;WP_000069437.1;AIG71625.1
EDL933_RS05855;Z1275;aspC;aromatic amino acid aminotransferase;Aspartate aminotransferase;WP_000462673.1;AIG67386.1
EDL933_RS13895;Z2919;aspS;aspartate--tRNA ligase;Aspartyl-tRNA synthetase;WP_001258683.1;AIG69011.1
EDL933_RS01120;Z0243;aspV;hypothetical protein;putative aminopeptidase;WP_001086136.1;AIG66424.1
EDL933_RS24935;Z5232;atpA;ATP synthase subunit alpha;ATP synthase alpha chain;WP_001176745.1;AIG71203.1
EDL933_RS24955;Z5236;atpB;ATP synthase subunit A;ATP synthase A chain;WP_000135625.1;AIG71207.1
EDL933_RS24920;Z5229;atpC;ATP synthase epsilon chain;ATP synthase epsilon chain;WP_001251961.1;AIG71200.1
EDL933_RS24925;Z5230;atpD;ATP synthase subunit beta;ATP synthase beta chain;WP_000190506.1;AIG71201.1
EDL933_RS24950;Z5235;atpE;ATP synthase subunit C;ATP synthase C chain;WP_000429386.1;AIG71206.1
EDL933_RS24945;Z5234;atpF;ATP synthase subunit B;ATP synthase B chain;WP_001052219.1;AIG71205.1
EDL933_RS24930;Z5231;atpG;ATP synthase subunit gamma;ATP synthase gamma chain;WP_000896498.1;AIG71202.1
EDL933_RS24940;Z5233;atpH;ATP synthase subunit delta;ATP synthase delta chain;WP_001288587.1;AIG71204.1
EDL933_RS23785;Z4997;avtA;valine--pyruvate transaminase;Valine--pyruvate aminotransferase;WP_000144344.1;AIG70978.1
EDL933_RS21010;Z4410;bacA;undecaprenyl-diphosphatase;Undecaprenyl-diphosphatase;WP_001281927.1;AIG70428.1
EDL933_RS15440;Z3248;baeR;DNA-binding response regulator;Response regulator BaeR;WP_000137884.1;AIG69320.1
EDL933_RS15435;Z3247;baeS;two-component sensor histidine kinase;Sensory histidine kinase BaeS;WP_000675144.1;AIG69319.1
EDL933_RS18455;Z3889;BamD;outer membrane protein assembly factor BamD;putative component of the lipoprotein assembly complex (forms a complex with YaeT, YfgL, and NlpB);WP_000197686.1;AIG69918.1
EDL933_RS19445;Z4101;barA;signal transduction histidine kinase;BarA sensory histidine kinase (VarS, GacS);WP_000186450.1;AIG70119.1
EDL933_RS27030;Z5715;basR;DNA-binding response regulator;Transcriptional regulatory protein basR/pmrA;WP_000697915.1;AIG71597.1
EDL933_RS27025;Z5714;basS;two-component sensor histidine kinase;Sensor protein basS/pmrB;WP_001344046.1;AIG71596.1
EDL933_RS17835;Z3739;bcp;peroxiredoxin;Thiol peroxidase, Bcp-type;WP_001068682.1;AIG69795.1
EDL933_RS16410;Z3441;bcr;Bcr/CflA family multidrug efflux MFS transporter;MFS family multidrug transport protein, bicyclomycin resistance protein;WP_000213385.1;AIG69515.1
EDL933_RS11720;Z2503;Bcr/CflA;Bcr/CflA family drug resistance efflux transporter;Putative membrane transport protein;WP_000135022.1;AIG68578.1
EDL933_RS23540;NA;bcsA;cellulose synthase catalytic subunit;Cellulose synthase catalytic subunit [UDP-forming];WP_000025873.1;AIG70933.1
EDL933_RS23520;Z4944m;BcsC;cellulose biosynthesis protein BcsC;Cellulose synthase operon protein C;WP_071525496.1;AIG70929.1
EDL933_RS16015;NA;Bet;phage recombination protein Bet;Recombinational DNA repair protein RecT (prophage associated);WP_000100847.1;AIG69433.1
EDL933_RS01835;Z0398;betA;oxygen-dependent choline dehydrogenase;Choline dehydrogenase;WP_001159114.1;AIG66564.1
EDL933_RS01840;Z0399;betB;betaine-aldehyde dehydrogenase;Betaine aldehyde dehydrogenase;WP_000089099.1;AIG66565.1
EDL933_RS01845;Z0400;betI;transcriptional regulator;HTH-type transcriptional regulator BetI;WP_001301903.1;AIG66566.1
EDL933_RS01850;Z0401;betT;choline transporter;High-affinity choline uptake protein BetT;WP_000131044.1;AIG66567.1
EDL933_RS06680;Z1437;betW;phage recombination protein Bet;Recombinational DNA repair protein RecT (prophage associated);WP_000100847.1;AIG67553.1
EDL933_RS05515;NA;BfpM;transposase;Bundle-forming pilus protein BfpM;WP_001304204.1;AIG67316.1
EDL933_RS07670;NA;BfpM;transposase;Bundle-forming pilus protein BfpM;WP_001304204.1;AIG67768.1
EDL933_RS20145;Z4239;bglA;6-phospho-beta-glucosidase;6-phospho-beta-glucosidase;WP_001310226.1;AIG70257.1
EDL933_RS28305;NA;bglJ;helix-turn-helix transcriptional regulator;Transcriptional activator protein bglJ;WP_001301727.1;AIG71847.1
EDL933_RS16110;Z3381;bglX;beta-glucosidase;Periplasmic beta-glucosidase;WP_000871478.1;AIG69451.1
EDL933_RS10990;Z2323;BigA;surface-exposed virulence protein BigA;porin, autotransporter (AT) family;WP_001303278.1;AIG68434.1
EDL933_RS04450;Z0993;bioA;adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA;Adenosylmethionine-8-amino-7-oxononanoate aminotransferase;WP_001303857.1;AIG67096.1
EDL933_RS04455;Z0994;bioB;biotin synthase;Biotin synthase;WP_000951221.1;AIG67097.1
EDL933_RS04465;Z0996;bioC;malonyl-[acyl-carrier protein] O-methyltransferase BioC;Biotin synthesis protein BioC;WP_000246788.1;AIG67099.1
EDL933_RS04470;Z0997;bioD;dethiobiotin synthase;Dethiobiotin synthetase;WP_000044849.1;AIG67100.1
EDL933_RS04460;Z0995;bioF;8-amino-7-oxononanoate synthase;8-amino-7-oxononanoate synthase;WP_000118816.1;AIG67098.1
EDL933_RS22700;Z4767;bioH;pimeloyl-[acyl-carrier protein] methyl ester esterase;Biotin synthesis protein BioH;WP_001060090.1;AIG70761.1
EDL933_RS26255;Z5544;birA;bifunctional biotin--[acetyl-CoA-carboxylase] synthetase/biotin operon repressor;Biotin operon repressor;WP_000654618.1;AIG71446.1
EDL933_RS23680;Z4976;bisC;biotin sulfoxide reductase;Trimethylamine-N-oxide reductase;WP_000185340.1;AIG70957.1
EDL933_RS13925;Z2925;bisZ;Trimethylamine-N-oxide reductase 2;Trimethylamine-N-oxide reductase;WP_000176813.1;AIG69017.1
EDL933_RS27240;Z5756;blc;hypothetical protein;Outer membrane lipoprotein Blc;WP_001238378.1;AIG71638.1
EDL933_RS02515;NA;BolA;protein BolA;Cell division protein BolA;WP_000973448.1;AIG66710.1
EDL933_RS08880;Z1878;Bor;hypothetical protein;Lipoprotein Bor;WP_000738495.1;AIG68009.1
EDL933_RS06880;Z1474;borW;hypothetical protein;Lipoprotein Bor;WP_000738505.1;AIG67588.1
EDL933_RS02320;Z0499;brnQ;branched-chain amino acid transport system 2 carrier protein;Branched-chain amino acid transport system carrier protein;WP_000149639.1;AIG66668.1
EDL933_RS27430;NA;BsmA;lipoprotein BsmA;Putative exported protein;WP_000254636.1;AIG71673.1
EDL933_RS04795;Z1062;bssR;biofilm regulator BssR;biofilm regulator BssR;WP_000497137.1;AIG67164.1
EDL933_RS26220;Z5527;btuB;vitamin B12 transporter BtuB;Outer membrane vitamin B12 receptor BtuB;WP_000591342.1;AIG71443.1
EDL933_RS13045;Z2740;btuC;vitamin B12 import system permease BtuC;Vitamin B12 ABC transporter, permease component BtuC;WP_000956513.1;AIG68842.1
EDL933_RS13035;Z2738;btuD;vitamin B12 import ATP-binding protein BtuD;Vitamin B12 ABC transporter, ATPase component BtuD;WP_000029463.1;AIG68840.1
EDL933_RS13040;Z2739;btuE;glutathione peroxidase;Glutathione peroxidase;WP_001154193.1;AIG68841.1
EDL933_RS11875;Z2540;btuR;cob(I)yrinic acid a,c-diamide adenosyltransferase;Cob(I)alamin adenosyltransferase;WP_001278878.1;AIG68605.1
EDL933_RS27135;Z5734;cadA;lysine decarboxylase inducible;Lysine decarboxylase, inducible;WP_001295383.1;AIG71618.1
EDL933_RS27140;Z5735;cadB;cadaverine/lysine antiporter;Lysine/cadaverine antiporter membrane protein CadB;WP_000092909.1;AIG71619.1
EDL933_RS27145;Z5736;cadC;transcriptional regulator;Transcriptional activator of cad operon;WP_001187177.1;AIG71620.1
EDL933_RS00220;Z0045;caiA;crotonobetainyl-CoA dehydrogenase;Crotonobetainyl-CoA dehydrogenase;WP_000347117.1;AIG66248.1
EDL933_RS00215;Z0044;caiB;L-carnitine CoA-transferase;Crotonobetainyl-CoA:carnitine CoA-transferase;WP_000349922.1;AIG66247.1
EDL933_RS00210;Z0043;caiC;ATP-dependent acyl-CoA ligase;Crotonobetaine carnitine-CoA ligase;WP_001301863.1;AIG66246.1
EDL933_RS00200;Z0041;caiE;carnitine operon protein CaiE;Carnitine operon protein CaiE;WP_000122894.1;AIG66244.1
EDL933_RS00195;NA;CaiF;transcriptional activatory protein CaiF;Transcriptional activatory protein CaiF;WP_000333125.1;AIG66243.1
